"key","en","fr","ja","vi","zh"
"packages/api/api::api_security_section","Security Settings","Paramètres de Sécurité","セキュリティ設定","Cài đặt bảo mật","安全设置"
"packages/api/api::api_help_section","Help & Documentation","Aide et Documentation","ヘルプとドキュメント","Trợ giúp và tài liệu","帮助和文档"
"packages/api/api::push_notifications_section","Push Notifications (FCM v1 API)","Notifications Push (FCM v1 API)","プッシュ通知（FCM v1 API）","Thông báo đẩy (FCM v1 API)","推送通知（FCM v1 API）"
"packages/api/api::push_notifications_enabled","Enable Push Notifications","Activer les Notifications Push","プッシュ通知を有効にする","Kích hoạt thông báo đẩy","启用推送通知"
"packages/api/api::push_notifications_enabled_description","Enable or disable push notifications for mobile apps. When disabled, no notifications will be sent to devices.","Activer ou désactiver les notifications push pour les applications mobiles. Lorsqu'elles sont désactivées, aucune notification ne sera envoyée aux appareils.","モバイルアプリのプッシュ通知を有効または無効にします。無効にすると、デバイスに通知が送信されません。","Kích hoạt hoặc tắt thông báo đẩy cho ứng dụng di động. Khi tắt, không có thông báo nào sẽ được gửi đến thiết bị.","为移动应用程序启用或禁用推送通知。禁用时，不会向设备发送通知。"
"packages/api/api::fcm_project_id","Firebase Project ID","ID du Projet Firebase","FirebaseプロジェクトID","ID dự án Firebase","Firebase项目ID"
"packages/api/api::fcm_project_id_description","Your Firebase project ID. You can find this in your Firebase project settings.","Votre ID de projet Firebase. Vous pouvez le trouver dans les paramètres de votre projet Firebase.","あなたのFirebaseプロジェクトID。Firebaseプロジェクト設定で確認できます。","ID dự án Firebase của bạn. Bạn có thể tìm thấy điều này trong cài đặt dự án Firebase.","您的Firebase项目ID。您可以在Firebase项目设置中找到它。"
"packages/api/api::fcm_project_id_placeholder","Enter your Firebase project ID","Entrez votre ID de projet Firebase","FirebaseプロジェクトIDを入力してください","Nhập ID dự án Firebase của bạn","输入您的Firebase项目ID"
"packages/api/api::fcm_service_account_path","Service Account JSON File","Fichier JSON du Compte de Service","サービスアカウントJSONファイル","Tệp JSON tài khoản dịch vụ","服务账户JSON文件"
"packages/api/api::fcm_service_account_path_description","Path to your Firebase service account JSON file (relative to storage/app/ or absolute path).","Chemin vers votre fichier JSON de compte de service Firebase (relatif à storage/app/ ou chemin absolu).","FirebaseサービスアカウントJSONファイルのパス（storage/app/からの相対パスまたは絶対パス）。","Đường dẫn đến tệp JSON tài khoản dịch vụ Firebase của bạn (tương đối với storage/app/ hoặc đường dẫn tuyệt đối).","Firebase服务账户JSON文件的路径（相对于storage/app/或绝对路径）。"
"packages/api/api::fcm_service_account_upload_description","Upload your Firebase service account JSON file. The file will be securely stored in storage/app/firebase/ directory.","Téléchargez votre fichier JSON de compte de service Firebase. Le fichier sera stocké en sécurité dans le répertoire storage/app/firebase/.","FirebaseサービスアカウントJSONファイルをアップロードしてください。ファイルはstorage/app/firebase/ディレクトリに安全に保存されます。","Tải lên tệp JSON tài khoản dịch vụ Firebase của bạn. Tệp sẽ được lưu trữ an toàn trong thư mục storage/app/firebase/.","上传您的Firebase服务账户JSON文件。文件将安全存储在storage/app/firebase/目录中。"
"packages/api/api::fcm_service_account_path_placeholder","firebase/service-account.json","firebase/service-account.json","firebase/service-account.json","firebase/service-account.json","firebase/service-account.json"
"packages/api/api::upload_file","Upload File","Télécharger le Fichier","ファイルをアップロード","Tải lên tệp","上传文件"
"packages/api/api::remove_file","Remove File","Supprimer le Fichier","ファイルを削除","Xóa tệp","删除文件"
"packages/api/api::uploaded_at","Uploaded at","Téléchargé le","アップロード日時","Đã tải lên vào","上传于"
"packages/api/api::upload_json_file","Please upload your service account JSON file.","Veuillez télécharger votre fichier JSON de compte de service.","サービスアカウントJSONファイルをアップロードしてください。","Vui lòng tải lên tệp JSON tài khoản dịch vụ của bạn.","请上传您的服务账户JSON文件。"
"packages/api/api::uploading_file","Uploading file","Téléchargement du fichier","ファイルをアップロード中","Đang tải lên tệp","正在上传文件"
"packages/api/api::file_uploaded_successfully","File uploaded successfully!","Fichier téléchargé avec succès !","ファイルが正常にアップロードされました！","Tệp đã được tải lên thành công!","文件上传成功！"
"packages/api/api::file_removed_successfully","File removed successfully!","Fichier supprimé avec succès !","ファイルが正常に削除されました！","Tệp đã được xóa thành công!","文件删除成功！"
"packages/api/api::invalid_json_file","Please select a valid JSON file.","Veuillez sélectionner un fichier JSON valide.","有効なJSONファイルを選択してください。","Vui lòng chọn một tệp JSON hợp lệ.","请选择有效的JSON文件。"
"packages/api/api::file_upload_error","Error uploading file. Please try again.","Erreur lors du téléchargement du fichier. Veuillez réessayer.","ファイルのアップロードエラー。もう一度お試しください。","Lỗi tải lên tệp. Vui lòng thử lại.","文件上传错误。请重试。"
"packages/api/api::file_remove_error","Error removing file. Please try again.","Erreur lors de la suppression du fichier. Veuillez réessayer.","ファイルの削除エラー。もう一度お試しください。","Lỗi xóa tệp. Vui lòng thử lại.","文件删除错误。请重试。"
"packages/api/api::send_custom_notification","Send Custom Notification","Envoyer une Notification Personnalisée","カスタム通知を送信","Gửi thông báo tùy chỉnh","发送自定义通知"
"packages/api/api::notification_title","Title","Titre","タイトル","Tiêu đề","标题"
"packages/api/api::notification_title_placeholder","Enter notification title","Entrez le titre de la notification","通知タイトルを入力してください","Nhập tiêu đề thông báo","输入通知标题"
"packages/api/api::notification_message","Message","Message","メッセージ","Tin nhắn","消息"
"packages/api/api::notification_message_placeholder","Enter notification message","Entrez le message de la notification","通知メッセージを入力してください","Nhập tin nhắn thông báo","输入通知消息"
"packages/api/api::notification_message_help","Maximum 500 characters","Maximum 500 caractères","最大500文字","Tối đa 500 ký tự","最多500个字符"
"packages/api/api::notification_target","Target Devices","Appareils Cibles","ターゲットデバイス","Thiết bị mục tiêu","目标设备"
"packages/api/api::notification_action_url","Action URL (Optional)","URL d'Action (Optionnel)","アクションURL（オプション）","URL hành động (Tùy chọn)","操作URL（可选）"
"packages/api/api::notification_action_url_placeholder","https://example.com/page","https://example.com/page","https://example.com/page","https://example.com/page","https://example.com/page"
"packages/api/api::notification_action_url_help","URL to open when notification is tapped","URL à ouvrir lorsque la notification est touchée","通知をタップしたときに開くURL","URL để mở khi thông báo được nhấn","点击通知时打开的URL"
"packages/api/api::notification_image_url","Image URL (Optional)","URL d'Image (Optionnel)","画像URL（オプション）","URL hình ảnh (Tùy chọn)","图片URL（可选）"
"packages/api/api::notification_image_url_placeholder","https://example.com/image.jpg","https://example.com/image.jpg","https://example.com/image.jpg","https://example.com/image.jpg","https://example.com/image.jpg"
"packages/api/api::notification_image_url_help","Image to display in the notification","Image à afficher dans la notification","通知に表示する画像","Hình ảnh để hiển thị trong thông báo","在通知中显示的图片"
"packages/api/api::notification_send_info","Notifications will be sent to all active device tokens","Les notifications seront envoyées à tous les tokens d'appareils actifs","通知はすべてのアクティブなデバイストークンに送信されます","Thông báo sẽ được gửi đến tất cả token thiết bị hoạt động","通知将发送到所有活跃的设备令牌"
"packages/api/api::send_notification","Send Notification","Envoyer la Notification","通知を送信","Gửi thông báo","发送通知"
"packages/api/api::all_devices","All Devices","Tous les Appareils","すべてのデバイス","Tất cả thiết bị","所有设备"
"packages/api/api::android_devices","Android Devices Only","Appareils Android Uniquement","Androidデバイスのみ","Chỉ thiết bị Android","仅Android设备"
"packages/api/api::ios_devices","iOS Devices Only","Appareils iOS Uniquement","iOSデバイスのみ","Chỉ thiết bị iOS","仅iOS设备"
"packages/api/api::customer_devices","Customer Devices Only","Appareils Clients Uniquement","顧客デバイスのみ","Chỉ thiết bị khách hàng","仅客户设备"
"packages/api/api::notification_sending","Sending notification...","Envoi de la notification...","通知を送信中...","Đang gửi thông báo...","正在发送通知..."
"packages/api/api::notification_sent_success","Notification sent successfully!","Notification envoyée avec succès !","通知が正常に送信されました！","Thông báo đã được gửi thành công!","通知发送成功！"
"packages/api/api::notification_sent_error","Failed to send notification. Please try again.","Échec de l'envoi de la notification. Veuillez réessayer.","通知の送信に失敗しました。もう一度お試しください。","Không thể gửi thông báo. Vui lòng thử lại.","发送通知失败。请重试。"
"packages/api/api::fcm_setup_title","Firebase Cloud Messaging Setup Instructions","Instructions de Configuration Firebase Cloud Messaging","Firebase Cloud Messaging設定手順","Hướng dẫn thiết lập Firebase Cloud Messaging","Firebase云消息设置说明"
"packages/api/api::fcm_step_1_title","1. Create Firebase Project","1. Créer un Projet Firebase","1. Firebaseプロジェクトを作成","1. Tạo dự án Firebase","1. 创建Firebase项目"
"packages/api/api::fcm_step_1_1","Go to Firebase Console (console.firebase.google.com)","Allez à la Console Firebase (console.firebase.google.com)","Firebaseコンソール（console.firebase.google.com）に移動","Truy cập Firebase Console (console.firebase.google.com)","转到Firebase控制台（console.firebase.google.com）"
"packages/api/api::fcm_step_1_2","Create a new project or select existing one","Créez un nouveau projet ou sélectionnez-en un existant","新しいプロジェクトを作成するか、既存のプロジェクトを選択","Tạo dự án mới hoặc chọn dự án hiện có","创建新项目或选择现有项目"
"packages/api/api::fcm_step_1_3","Copy the Project ID from project settings","Copiez l'ID du Projet depuis les paramètres du projet","プロジェクト設定からプロジェクトIDをコピー","Sao chép ID dự án từ cài đặt dự án","从项目设置中复制项目ID"
"packages/api/api::fcm_step_2_title","2. Generate Service Account","2. Générer un Compte de Service","2. サービスアカウントを生成","2. Tạo tài khoản dịch vụ","2. 生成服务账户"
"packages/api/api::fcm_step_2_1","Go to Project Settings > Service Accounts","Allez à Paramètres du Projet > Comptes de Service","プロジェクト設定 > サービスアカウントに移動","Chuyển đến Cài đặt dự án > Tài khoản dịch vụ","转到项目设置 > 服务账户"
"packages/api/api::fcm_step_2_2","Click Generate new private key","Cliquez sur Générer une nouvelle clé privée","「新しい秘密鍵を生成」をクリック","Nhấp vào Tạo khóa riêng mới","点击生成新的私钥"
"packages/api/api::fcm_step_2_3","Download the JSON file","Téléchargez le fichier JSON","JSONファイルをダウンロード","Tải xuống tệp JSON","下载JSON文件"
"packages/api/api::fcm_step_2_4","Upload it to your server storage/app/firebase/ folder","Téléversez-le dans le dossier storage/app/firebase/ de votre serveur","サーバーのstorage/app/firebase/フォルダーにアップロードしてください","Tải lên vào thư mục storage/app/firebase/ của máy chủ","将其上传到您的服务器storage/app/firebase/文件夹"
"packages/api/api::fcm_step_3_title","3. Enable FCM API","3. Activer l'API FCM","3. FCM APIを有効にする","3. Kích hoạt FCM API","3. 启用FCM API"
"packages/api/api::fcm_step_3_1","Go to Google Cloud Console","Allez à Google Cloud Console","Google Cloud Consoleに移動","Truy cập Google Cloud Console","转到Google Cloud控制台"
"packages/api/api::fcm_step_3_2","Enable Firebase Cloud Messaging API","Activez l'API Firebase Cloud Messaging","Firebase Cloud Messaging APIを有効にする","Kích hoạt Firebase Cloud Messaging API","启用Firebase云消息API"
"packages/api/api::fcm_step_3_3","Make sure billing is enabled for your project","Assurez-vous que la facturation est activée pour votre projet","プロジェクトで請求が有効になっていることを確認","Đảm bảo rằng thanh toán đã được kích hoạt cho dự án của bạn","确保为您的项目启用了计费"
"packages/api/api::fcm_step_4_title","4. Configure Settings","4. Configurer les Paramètres","4. 設定を構成","4. Cấu hình cài đặt","4. 配置设置"
"packages/api/api::fcm_step_4_1","Enter your Project ID above","Entrez votre ID de Projet ci-dessus","上記にプロジェクトIDを入力","Nhập ID dự án của bạn ở trên","在上方输入您的项目ID"
"packages/api/api::fcm_step_4_2","Enter the path to your service account JSON file","Entrez le chemin vers votre fichier JSON de compte de service","サービスアカウントJSONファイルのパスを入力","Nhập đường dẫn đến tệp JSON tài khoản dịch vụ của bạn","输入您的服务账户JSON文件路径"
"packages/api/api::fcm_security_note_title","Security Note:","Note de Sécurité :","セキュリティ注意事項：","Lưu ý bảo mật:","安全提示："
"packages/api/api::fcm_security_note","Keep your service account JSON file secure and never commit it to version control. Store it in a secure location on your server.","Gardez votre fichier JSON de compte de service sécurisé et ne le commitez jamais dans le contrôle de version. Stockez-le dans un endroit sécurisé sur votre serveur.","サービスアカウントJSONファイルを安全に保管し、バージョン管理にコミットしないでください。サーバーの安全な場所に保存してください。","Giữ tệp JSON tài khoản dịch vụ của bạn an toàn và không bao giờ commit nó vào hệ thống kiểm soát phiên bản. Lưu trữ nó ở một vị trí an toàn trên máy chủ của bạn.","保护好您的服务账户JSON文件，切勿将其提交到版本控制。将其存储在服务器的安全位置。"
"packages/api/api::your_api_key_here","your-api-key-here","your-api-key-here","your-api-key-here","your-api-key-here","your-api-key-here"
"packages/api/api::file_size_too_large","File size must be less than 2MB.","La taille du fichier doit être inférieure à 2 Mo.","ファイルサイズは2MB未満である必要があります。","Kích thước tệp phải nhỏ hơn 2MB.","文件大小必须小于2MB。"
"packages/api/api::confirm_remove_service_account","Are you sure you want to remove the service account file?","Êtes-vous sûr de vouloir supprimer le fichier de compte de service ?","サービスアカウントファイルを削除してもよろしいですか？","Bạn có chắc chắn muốn xóa tệp tài khoản dịch vụ?","您确定要删除服务账户文件吗？"
"packages/api/api::service_account_file_label","Service account file:","Fichier de compte de service :","サービスアカウントファイル：","Tệp tài khoản dịch vụ:","服务账户文件："
"packages/api/api::just_uploaded","(Just uploaded)","(Vient d'être téléchargé)","（アップロード済み）","(Vừa tải lên)","（刚刚上传）"
"packages/api/api::service_account_not_uploaded","Service account file is <strong>not uploaded</strong>. Please upload your service account JSON file.","Le fichier de compte de service <strong>n'est pas téléchargé</strong>. Veuillez télécharger votre fichier JSON de compte de service.","サービスアカウントファイルが<strong>アップロードされていません</strong>。サービスアカウントJSONファイルをアップロードしてください。","Tệp tài khoản dịch vụ <strong>chưa được tải lên</strong>. Vui lòng tải lên tệp JSON tài khoản dịch vụ của bạn.","服务账户文件<strong>未上传</strong>。请上传您的服务账户JSON文件。"
"packages/api/api::please_enter_notification_title","Please enter a notification title.","Veuillez entrer un titre pour la notification.","通知タイトルを入力してください。","Vui lòng nhập tiêu đề thông báo.","请输入通知标题。"
"packages/api/api::please_enter_notification_message","Please enter a notification message.","Veuillez entrer un message pour la notification.","通知メッセージを入力してください。","Vui lòng nhập tin nhắn thông báo.","请输入通知消息。"
"packages/api/api::notification_error_occurred","An error occurred while sending the notification.","Une erreur s'est produite lors de l'envoi de la notification.","通知の送信中にエラーが発生しました。","Đã xảy ra lỗi khi gửi thông báo.","发送通知时发生错误。"
"packages/api/api::sent_to_devices","Sent to: :count devices","Envoyé à : :count appareils",":count台のデバイスに送信されました","Đã gửi đến: :count thiết bị","发送到：:count 设备"
"packages/api/api::failed_devices","Failed: :count devices","Échec : :count appareils",":count台のデバイスで失敗","Thất bại: :count thiết bị","失败：:count 设备"
"packages/api/api::will_send_to_devices","Will send to :total active devices (:android Android, :ios iOS, :customers customers)","Sera envoyé à :total appareils actifs (:android Android, :ios iOS, :customers clients)",":total台のアクティブデバイスに送信されます（:android Android、:ios iOS、:customers 顧客）","Sẽ gửi đến :total thiết bị hoạt động (:android Android, :ios iOS, :customers khách hàng)","将发送到 :total 活跃设备（:android Android，:ios iOS，:customers 客户）"
"packages/api/api::close","Close","Fermer","閉じる","Đóng","关闭"
"packages/api/sanctum-token::name","Sanctum Token","Token Sanctum","Sanctum Token","Sanctum Token","Sanctum Token"
"packages/api/sanctum-token::create","New Sanctum Token","Nouveau Token Sanctum","新しいSanctum Token","Token Sanctum mới","新Sanctum Token"
"packages/api/sanctum-token::abilities","Abilities","Permissions","権限","Quyền","权限"
"packages/api/sanctum-token::last_used_at","Last used at","Dernière utilisation le","最終使用日時","Sử dụng lần cuối","最后使用时间"
"packages/api/sanctum-token::generated_message","This is your new personal access token, this token only show 1 time, make sure you have copied it.","Voici votre nouveau jeton d'accès personnel. Ce jeton n'est affiché qu'une seule fois, assurez-vous de l'avoir copié.","これは新しい個人用アクセストークンです。このトークンは一度だけ表示されますので、必ずコピーしてください。","Đây là token truy cập cá nhân mới của bạn. Token này chỉ hiển thị một lần, hãy đảm bảo bạn đã sao chép nó.","这是您的新个人访问令牌。此令牌仅显示一次，请确保您已复制它。"
"packages/data-synchronize/data-synchronize::tools.export_import_data","Export/Import Data","Exporter/Importer des données","データのエクスポート/インポート","Xuất/Nhập dữ liệu","导入/导出数据"
"packages/data-synchronize/data-synchronize::import.name","Import","Importer","インポート","Nhập","导入"
"packages/data-synchronize/data-synchronize::import.heading","Import :label","Importer :label",":label をインポート","Nhập :label","导入 :label"
"packages/data-synchronize/data-synchronize::import.failed_to_read_file","The file is invalid or corrupted or too large to read.","Le fichier est invalide, corrompu ou trop volumineux pour être lu.","ファイルが無効、破損している、または大きすぎて読み取れません。","Tệp không hợp lệ hoặc bị hỏng hoặc quá lớn để đọc.","文件无效、损坏或太大而无法读取。"
"packages/data-synchronize/data-synchronize::import.form.quick_export_message","If you want to export :label data, you can do it quickly by clicking on :export_csv_link or :export_excel_link.","Si vous souhaitez exporter les données :label, vous pouvez le faire rapidement en cliquant sur :export_csv_link ou :export_excel_link.",":label データをエクスポートしたい場合は、:export_csv_link または :export_excel_link をクリックして簡単に実行できます。","Nếu bạn muốn xuất dữ liệu :label, bạn có thể thực hiện nhanh chóng bằng cách nhấp vào :export_csv_link hoặc :export_excel_link.","如果您想导出 :label 数据，可以通过点击 :export_csv_link 或 :export_excel_link 快速完成。"
"packages/data-synchronize/data-synchronize::import.form.quick_export_button","Export to :format","Exporter vers :format",":format にエクスポート","Xuất sang :format","导出为 :format"
"packages/data-synchronize/data-synchronize::import.form.dropzone_message","Drag and drop file here or click to upload","Glissez-déposez le fichier ici ou cliquez pour télécharger","ここにファイルをドラッグ＆ドロップするか、クリックしてアップロード","Kéo và thả file vào đây hoặc click để tải lên","将文件拖放到此处或单击上传"
"packages/data-synchronize/data-synchronize::import.form.allowed_extensions","Choose a file with following extensions: :extensions.","Choisissez un fichier avec les extensions suivantes : :extensions.","次の拡張子を持つファイルを選択してください: :extensions。","Chọn tệp có phần mở rộng sau: :extensions.","选择一个具有以下扩展名的文件：:extensions。"
"packages/data-synchronize/data-synchronize::import.form.import_button","Import","Importer","インポート","Nhập","导入"
"packages/data-synchronize/data-synchronize::import.form.chunk_size","Chunk size","Taille du bloc","チャンクサイズ","Kích thước đoạn","块大小"
"packages/data-synchronize/data-synchronize::import.form.chunk_size_helper","The number of rows to be imported at a time is defined by the chunk size. Increase this value if you have a large file and data is imported very fast. Decrease this value if you encounter memory limits or gateway timeout issues when importing data.","Le nombre de lignes à importer à la fois est défini par la taille du bloc. Augmentez cette valeur si vous avez un fichier volumineux et que les données sont importées très rapidement. Diminuez cette valeur si vous rencontrez des limites de mémoire ou des problèmes de délai d'attente de la passerelle lors de l'importation de données.","一度にインポートされる行数はチャンクサイズによって定義されます。大きなファイルがあり、データが非常に高速にインポートされる場合はこの値を増やしてください。データをインポートする際にメモリ制限またはゲートウェイタイムアウトの問題が発生した場合はこの値を減らしてください。","Số lượng hàng được nhập tại một thời điểm được xác định bởi kích thước khối. Tăng giá trị này nếu bạn có tệp lớn và dữ liệu được nhập rất nhanh. Hãy giảm giá trị này nếu bạn gặp phải vấn đề về giới hạn bộ nhớ hoặc thời gian chờ của cổng khi nhập dữ liệu.","一次导入的行数由块大小定义。如果您有一个大文件并且数据导入非常快，请增加此值。如果在导入数据时遇到内存限制或网关超时问题，请减少此值。"
"packages/data-synchronize/data-synchronize::import.failures.title","Failures","Échecs","失敗","Thất bại","失败"
"packages/data-synchronize/data-synchronize::import.failures.attribute","Attribute","Attribut","属性","Thuộc tính","属性"
"packages/data-synchronize/data-synchronize::import.failures.errors","Errors","Erreurs","エラー","Lỗi","错误"
"packages/data-synchronize/data-synchronize::import.example.title","Example","Exemple","例","Ví dụ","示例"
"packages/data-synchronize/data-synchronize::import.example.download","Download example :type file","Télécharger un exemple de fichier :type","サンプル :type ファイルをダウンロード","Tải xuống tệp :type mẫu","下载示例 :type 文件"
"packages/data-synchronize/data-synchronize::import.rules.title","Rules","Règles","ルール","Quy tắc","规则"
"packages/data-synchronize/data-synchronize::import.rules.column","Column","Colonne","カラム","Cột","列"
"packages/data-synchronize/data-synchronize::import.uploading_message","Starting to upload file...","Début du téléchargement du fichier...","ファイルのアップロードを開始しています...","Đang bắt đầu tải tệp lên...","开始上传文件..."
"packages/data-synchronize/data-synchronize::import.uploaded_message","File :file has been uploaded successfully. Start validating data...","Le fichier :file a été téléchargé avec succès. Début de la validation des données...","ファイル :file が正常にアップロードされました。データの検証を開始します...","Tệp :file đã được tải lên thành công. Bắt đầu xác thực dữ liệu...","文件 :file 已成功上传。开始验证数据..."
"packages/data-synchronize/data-synchronize::import.validating_message","Validating from :from to :to...","Validation de :from à :to...",":from から :to まで検証中...","Đang xác thực từ :from đến :to...","从 :from 验证到 :to..."
"packages/data-synchronize/data-synchronize::import.importing_message","Importing from :from to :to...","Importation de :from à :to...",":from から :to までインポート中...","Đang nhập từ :from đến :to...","从 :from 导入到 :to..."
"packages/data-synchronize/data-synchronize::import.done_message","Imported :count :label successfully.",":count :label importés avec succès.",":count 件の :label を正常にインポートしました。","Đã nhập :count :label thành công.","成功导入 :count :label。"
"packages/data-synchronize/data-synchronize::import.validating_failed_message","Validating failed. Please check the errors below.","La validation a échoué. Veuillez vérifier les erreurs ci-dessous.","検証に失敗しました。以下のエラーをご確認ください。","Xác thực không thành công. Vui lòng kiểm tra các lỗi dưới đây.","验证失败。请检查下面的错误。"
"packages/data-synchronize/data-synchronize::import.no_data_message","Your data is already up to date or no data to import.","Vos données sont déjà à jour ou il n'y a pas de données à importer.","データは既に最新の状態か、インポートするデータがありません。","Dữ liệu của bạn đã được cập nhật hoặc không có dữ liệu để nhập.","您的数据已经是最新的，或者没有数据可导入。"
"packages/data-synchronize/data-synchronize::export.name","Export","Exporter","エクスポート","Xuất","导出"
"packages/data-synchronize/data-synchronize::export.heading","Export :label","Exporter :label",":label をエクスポート","Xuất :label","导出 :label"
"packages/data-synchronize/data-synchronize::export.excel_not_supported_for_large_exports","Excel format is not supported for large exports (:count items). Please use CSV format instead for better performance and reliability.","Le format Excel n'est pas pris en charge pour les exportations volumineuses (:count éléments). Veuillez utiliser le format CSV pour de meilleures performances et fiabilité.","Excel形式は大量のエクスポート（:count 項目）には対応していません。より良いパフォーマンスと信頼性のためにCSV形式をご使用ください。","Định dạng Excel không hỗ trợ xuất dữ liệu lớn (:count mục). Vui lòng sử dụng định dạng CSV để có hiệu suất và độ tin cậy tốt hơn.","Excel格式不支持大量导出（:count 项）。请使用CSV格式以获得更好的性能和可靠性。"
"packages/data-synchronize/data-synchronize::export.form.all_columns_disabled","Following columns will be exported: :columns.","Les colonnes suivantes seront exportées : :columns.","次の列がエクスポートされます: :columns。","Các cột sau sẽ được xuất: :columns.","将导出的列为：:columns。"
"packages/data-synchronize/data-synchronize::export.form.columns","Columns","Colonnes","カラム","Cột","列"
"packages/data-synchronize/data-synchronize::export.form.format","Format","Format","フォーマット","Định dạng","格式"
"packages/data-synchronize/data-synchronize::export.form.export_button","Export","Exporter","エクスポート","Xuất","导出"
"packages/data-synchronize/data-synchronize::export.success_message","Exported successfully.","Exporté avec succès.","正常にエクスポートされました。","Đã xuất thành công.","导出成功。"
"packages/data-synchronize/data-synchronize::export.error_message","Export failed.","L'exportation a échoué.","エクスポートに失敗しました。","Xuất không thành công.","导出失败。"
"packages/data-synchronize/data-synchronize::export.empty_state.title","No data to export","Aucune donnée à exporter","エクスポートするデータがありません","Không có dữ liệu để xuất","没有数据可导出"
"packages/data-synchronize/data-synchronize::export.empty_state.description","Looks like there is no data to export.","Il semble qu'il n'y ait pas de données à exporter.","エクスポートするデータがないようです。","Có vẻ như không có dữ liệu để xuất.","看起来没有数据可以导出。"
"packages/data-synchronize/data-synchronize::export.empty_state.back","Back to :page","Retour à :page",":page に戻る","Quay lại :page","返回 :page"
"packages/data-synchronize/data-synchronize::check_all","Check all","Tout sélectionner","すべて選択","Chọn tất cả","检查全部"
"packages/get-started/get-started::welcome_title","Welcome to your admin dashboard!","Bienvenue sur votre tableau de bord d'administration !","管理者ダッシュボードへようこそ!","Chào mừng bạn đến với bảng điều khiển quản trị của bạn!","欢迎来到您的管理仪表板！"
"packages/get-started/get-started::welcome_description","In a few short steps, you can have your new dashboard up and running!","En quelques étapes seulement, votre nouvel espace d'administration sera prêt à l'emploi.","いくつかの短い手順で、新しいダッシュボードを稼働させることができます。","Chỉ trong vài bước ngắn gọn, bạn có thể thiết lập và chạy trang tổng quan mới của mình!","只需几个简单步骤，您就可以让新的仪表板启动并运行！"
"packages/get-started/get-started::get_started","Get Started!","Commencer maintenant !","始めましょう!","Bắt đầu!","开始吧!"
"packages/get-started/get-started::customize_branding_title","Customize branding","Personnaliser l'identité visuelle","ブランドのカスタマイズ","Tùy chỉnh thương hiệu","自定义品牌"
"packages/get-started/get-started::customize_branding_description","Customize your site with colors, logo and subdomain to match your business unique branding and identity.","Ajustez les couleurs, le logo et le sous-domaine pour refléter fidèlement l'identité de votre entreprise.","ビジネス固有のブランディングやアイデンティティに合わせて、色、ロゴ、サブドメインを使用してサイトをカスタマイズします。","Tùy chỉnh trang web của bạn bằng màu sắc, logo và tên miền phụ để phù hợp với thương hiệu và bản sắc độc đáo của doanh nghiệp bạn.","自定义您的网站，使用颜色、徽标和子域名，以匹配您业务独特的品牌和身份。"
"packages/get-started/get-started::colors","Colors","Couleurs","色","Màu sắc","颜色"
"packages/get-started/get-started::fonts","Fonts","Polices","フォント","Phông chữ","字体"
"packages/get-started/get-started::primary_color","Primary color","Couleur primaire","原色","Màu chính","主色"
"packages/get-started/get-started::primary_font","Primary font","Police principale","プライマリフォント","Phông chữ chính","主要字体"
"packages/get-started/get-started::setup_wizard_button",":link to finish Quick setup Wizard!",":link pour terminer l'assistant de configuration rapide !",":link to finish Quick setup Wizard!",":link để hoàn thành Trình hướng dẫn thiết lập nhanh!",":link 完成快速设置向导！"
"packages/get-started/get-started::click_here","Click here","Cliquez ici","ここをクリック","Bấm vào đây","点击这里"
"packages/get-started/get-started::site_title","Site title","Titre du site","サイトタイトル","Tiêu đề trang web","网站标题"
"packages/get-started/get-started::identify","Identify","Identité","識別する","Nhận dạng","识别"
"packages/get-started/get-started::logo","Logo","Logo du site","ロゴ","Logo","标志"
"packages/get-started/get-started::admin_logo","Admin logo","Logo de l'administrateur","管理者のロゴ","Biểu tượng quản trị viên","管理员徽标"
"packages/get-started/get-started::favicon","Favicon","Icône de favori","ファビコン","Biểu tượng yêu thích","网站图标"
"packages/get-started/get-started::admin_favicon","Admin favicon","Favicon de l'administration","管理者のファビコン","Biểu tượng quản trị viên","管理员图标"
"packages/get-started/get-started::next_step","Next step","Étape suivante","次のステップ","Bước tiếp theo","下一步"
"packages/get-started/get-started::site_ready_title","Your site is ready!","Votre site est prêt !","サイトの準備が完了しました。","Trang web của bạn đã sẵn sàng!","您的网站已准备好！"
"packages/get-started/get-started::site_ready_description","Welcome to your new site! Your website has been created and populated with sample data. You are in the admin area of your site where you can set up everything else needed to complete your site.","Bienvenue sur votre nouveau site ! Des données d'exemple ont été importées et vous vous trouvez dans l'espace d'administration pour finaliser les derniers réglages.","新しいサイトへようこそ! Web サイトが作成され、サンプル データが入力されました。サイトの管理エリアが表示され、サイトを完成させるために必要なその他すべての設定を行うことができます。","Chào mừng đến với trang web mới của bạn! Trang web của bạn đã được tạo và điền dữ liệu mẫu. Bạn đang ở trong khu vực quản trị trang web của mình, nơi bạn có thể thiết lập mọi thứ khác cần thiết để hoàn thành trang web của mình.","欢迎来到您的新网站！您的网站已创建并填充了示例数据。您现在在网站的管理区域，可以设置完成网站所需的其他所有内容。"
"packages/get-started/get-started::finish","Finish","Terminer","仕上げる","Hoàn thành","完成"
